Sample_ID,ARMS_ID,Size_Fraction,Station_ID,Month_Ret,Ret_ID,Impact
COI-Sessile-HK4,ARMS_4,COI_sessile,CLP,OCT,CLP_2017,Med
COI-100-HK5,ARMS_5,COI_100,CLP,OCT,CLP_2017,Med
COI-500-HK5,ARMS_5,COI_500,CLP,OCT,CLP_2017,Med
COI-Sessile-HK5,ARMS_5,COI_sessile,CLP,OCT,CLP_2017,Med
COI-100-HK6,ARMS_6,COI_100,CLP,OCT,CLP_2017,Med
COI-500-HK6,ARMS_6,COI_500,CLP,OCT,CLP_2017,Med
COI-Sessile-HK6,ARMS_6,COI_sessile,CLP,OCT,CLP_2017,Med
COI-Control,Control_1,COI,control,control,control,control
NTC-1,Control_2,COI,control,control,control,control
NTC-2,Control_3,COI,control,control,control,control
NTC-3,Control_4,COI,control,control,control,control
COI-100-HK31,ARMS_31,COI_100,PC,WIN,PC_2019_WIN,High
COI-500-HK31,ARMS_31,COI_500,PC,WIN,PC_2019_WIN,High
COI-Sessile-HK31,ARMS_31,COI_sessile,PC,WIN,PC_2019_WIN,High
COI-100-HK32,ARMS_32,COI_100,PC,WIN,PC_2019_WIN,High
COI-500-HK32,ARMS_32,COI_500,PC,WIN,PC_2019_WIN,High
COI-Sessile-HK32,ARMS_32,COI_sessile,PC,WIN,PC_2019_WIN,High
COI-100-HK33,ARMS_33,COI_100,PC,WIN,PC_2019_WIN,High
COI-500-HK33,ARMS_33,COI_500,PC,WIN,PC_2019_WIN,High
COI-Sessile-HK33,ARMS_33,COI_sessile,PC,WIN,PC_2019_WIN,High
COI-100-HK49,ARMS_49,COI_100,PC,SUM,PC_2019_SUM,High
COI-500-HK49,ARMS_49,COI_500,PC,SUM,PC_2019_SUM,High
COI-100-HK50,ARMS_50,COI_100,PC,SUM,PC_2019_SUM,High
COI-500-HK50,ARMS_50,COI_500,PC,SUM,PC_2019_SUM,High
COI-100-HK51,ARMS_51,COI_100,PC,SUM,PC_2019_SUM,High
COI-500-HK51,ARMS_51,COI_500,PC,SUM,PC_2019_SUM,High
COI-Sessile-HK51,ARMS_51,COI_sessile,PC,SUM,PC_2019_SUM,High
COI-100-HK1,ARMS_1,COI_100,PI,OCT,PI_2017,Med
COI-500-HK1,ARMS_1,COI_500,PI,OCT,PI_2017,Med
COI-Sessile-HK1,ARMS_1,COI_sessile,PI,OCT,PI_2017,Med
COI-100-HK2,ARMS_2,COI_100,PI,OCT,PI_2017,Med
COI-500-HK2,ARMS_2,COI_500,PI,OCT,PI_2017,Med
COI-Sessile-HK2,ARMS_2,COI_sessile,PI,OCT,PI_2017,Med
COI-100-HK3,ARMS_3,COI_100,PI,OCT,PI_2017,Med
COI-500-HK3,ARMS_3,COI_500,PI,OCT,PI_2017,Med
COI-Sessile-HK3,ARMS_3,COI_sessile,PI,OCT,PI_2017,Med
COI-100-HK28,ARMS_28,COI_100,SSW,WIN,SSW_2019_WIN,High
COI-500-HK28,ARMS_28,COI_500,SSW,WIN,SSW_2019_WIN,High
COI-Sessile-HK28,ARMS_28,COI_sessile,SSW,WIN,SSW_2019_WIN,High
COI-100-HK29,ARMS_29,COI_100,SSW,WIN,SSW_2019_WIN,High
COI-500-HK29,ARMS_29,COI_500,SSW,WIN,SSW_2019_WIN,High
COI-Sessile-HK29,ARMS_29,COI_sessile,SSW,WIN,SSW_2019_WIN,High
COI-100-HK30,ARMS_30,COI_100,SSW,WIN,SSW_2019_WIN,High
COI-500-HK30,ARMS_30,COI_500,SSW,WIN,SSW_2019_WIN,High
COI-Sessile-HK30,ARMS_30,COI_sessile,SSW,WIN,SSW_2019_WIN,High
COI-100-HK52,ARMS_52,COI_100,SSW,SUM,SSW_2019_SUM,High
COI-500-HK52,ARMS_52,COI_500,SSW,SUM,SSW_2019_SUM,High
COI-Sessile-HK52,ARMS_52,COI_sessile,SSW,SUM,SSW_2019_SUM,High
COI-100-HK53,ARMS_53,COI_100,SSW,SUM,SSW_2019_SUM,High
COI-500-HK53,ARMS_53,COI_500,SSW,SUM,SSW_2019_SUM,High
COI-100-HK54,ARMS_54,COI_100,SSW,SUM,SSW_2019_SUM,High
COI-500-HK54,ARMS_54,COI_500,SSW,SUM,SSW_2019_SUM,High
COI-Sessile-HK54,ARMS_54,COI_sessile,SSW,SUM,SSW_2019_SUM,High
COI-100-HK25,ARMS_25,COI_100,SW,WIN,SW_2019_WIN,Med
COI-500-HK25,ARMS_25,COI_500,SW,WIN,SW_2019_WIN,Med
COI-Sessile-HK25,ARMS_25,COI_sessile,SW,WIN,SW_2019_WIN,Med
COI-100-HK27,ARMS_27,COI_100,SW,WIN,SW_2019_WIN,Med
COI-500-HK27,ARMS_27,COI_500,SW,WIN,SW_2019_WIN,Med
COI-Sessile-HK27,ARMS_27,COI_sessile,SW,WIN,SW_2019_WIN,Med
COI-100-HK46,ARMS_46,COI_100,SW,SUM,SW_2019_SUM,Med
COI-500-HK46,ARMS_46,COI_500,SW,SUM,SW_2019_SUM,Med
COI-Sessile-HK46,ARMS_46,COI_sessile,SW,SUM,SW_2019_SUM,Med
COI-100-HK47,ARMS_47,COI_100,SW,SUM,SW_2019_SUM,Med
COI-500-HK47,ARMS_47,COI_500,SW,SUM,SW_2019_SUM,Med
COI-Sessile-HK47,ARMS_47,COI_sessile,SW,SUM,SW_2019_SUM,Med
COI-100-HK48,ARMS_48,COI_100,SW,SUM,SW_2019_SUM,Med
COI-500-HK48,ARMS_48,COI_500,SW,SUM,SW_2019_SUM,Med
COI-Sessile-HK48,ARMS_48,COI_sessile,SW,SUM,SW_2019_SUM,Med
COI-100-HK10,ARMS_10,COI_100,TPC,OCT,TPC_2017,Low
COI-500-HK10,ARMS_10,COI_500,TPC,OCT,TPC_2017,Low
COI-Sessile-HK10,ARMS_10,COI_sessile,TPC,OCT,TPC_2017,Low
COI-100-HK11,ARMS_11,COI_100,TPC,OCT,TPC_2017,Low
COI-500-HK11,ARMS_11,COI_500,TPC,OCT,TPC_2017,Low
COI-Sessile-HK11,ARMS_11,COI_sessile,TPC,OCT,TPC_2017,Low
COI-100-HK12,ARMS_12,COI_100,TPC,OCT,TPC_2017,Low
COI-500-HK12,ARMS_12,COI_500,TPC,OCT,TPC_2017,Low
COI-Sessile-HK12,ARMS_12,COI_sessile,TPC,OCT,TPC_2017,Low
COI-100-HK16,ARMS_16,COI_100,TPC,WIN,TPC_2019_WIN,Low
COI-500-HK16,ARMS_16,COI_500,TPC,WIN,TPC_2019_WIN,Low
COI-Sessile-HK16,ARMS_16,COI_sessile,TPC,WIN,TPC_2019_WIN,Low
COI-100-HK17,ARMS_17,COI_100,TPC,WIN,TPC_2019_WIN,Low
COI-500-HK17,ARMS_17,COI_500,TPC,WIN,TPC_2019_WIN,Low
COI-Sessile-HK17,ARMS_17,COI_sessile,TPC,WIN,TPC_2019_WIN,Low
COI-100-HK18,ARMS_18,COI_100,TPC,WIN,TPC_2019_WIN,Low
COI-500-HK18,ARMS_18,COI_500,TPC,WIN,TPC_2019_WIN,Low
COI-Sessile-HK18,ARMS_18,COI_sessile,TPC,WIN,TPC_2019_WIN,Low
COI-100-HK37,ARMS_37,COI_100,TPC,SUM,TPC_2019_SUM,Low
COI-500-HK37,ARMS_37,COI_500,TPC,SUM,TPC_2019_SUM,Low
COI-Sessile-HK37,ARMS_37,COI_sessile,TPC,SUM,TPC_2019_SUM,Low
COI-100-HK38,ARMS_38,COI_100,TPC,SUM,TPC_2019_SUM,Low
COI-500-HK38,ARMS_38,COI_500,TPC,SUM,TPC_2019_SUM,Low
COI-Sessile-HK38,ARMS_38,COI_sessile,TPC,SUM,TPC_2019_SUM,Low
COI-100-HK39,ARMS_39,COI_100,TPC,SUM,TPC_2019_SUM,Low
COI-500-HK39,ARMS_39,COI_500,TPC,SUM,TPC_2019_SUM,Low
COI-Sessile-HK39,ARMS_39,COI_sessile,TPC,SUM,TPC_2019_SUM,Low
